"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"sort.SortBenchmark.BubbleSort","thrpt",1,4,"329,785133","128,285418","ops/s"
"sort.SortBenchmark.MergeSort","thrpt",1,4,"14395,874073","5231,756727","ops/s"
